provider  model                  context  max-out  thinking  images
openai    codex-mini-latest      200K     100K     yes       no    
openai    gpt-4                  8.2K     8.2K     no        no    
openai    gpt-4-turbo            128K     4.1K     no        yes   
openai    gpt-4.1                1.0M     32.8K    no        yes   
openai    gpt-4.1-mini           1.0M     32.8K    no        yes   
openai    gpt-4.1-nano           1.0M     32.8K    no        yes   
openai    gpt-4o                 128K     16.4K    no        yes   
openai    gpt-4o-2024-05-13      128K     4.1K     no        yes   
openai    gpt-4o-2024-08-06      128K     16.4K    no        yes   
openai    gpt-4o-2024-11-20      128K     16.4K    no        yes   
openai    gpt-4o-mini            128K     16.4K    no        yes   
openai    gpt-5                  400K     128K     yes       yes   
openai    gpt-5-chat-latest      128K     16.4K    no        yes   
openai    gpt-5-codex            400K     128K     yes       yes   
openai    gpt-5-mini             400K     128K     yes       yes   
openai    gpt-5-nano             400K     128K     yes       yes   
openai    gpt-5-pro              400K     272K     yes       yes   
openai    gpt-5.1                400K     128K     yes       yes   
openai    gpt-5.1-chat-latest    128K     16.4K    yes       yes   
openai    gpt-5.1-codex          400K     128K     yes       yes   
openai    gpt-5.1-codex-max      400K     128K     yes       yes   
openai    gpt-5.1-codex-mini     400K     128K     yes       yes   
openai    gpt-5.2                400K     128K     yes       yes   
openai    gpt-5.2-chat-latest    128K     16.4K    yes       yes   
openai    gpt-5.2-codex          400K     128K     yes       yes   
openai    gpt-5.2-pro            400K     128K     yes       yes   
openai    gpt-5.3-codex          400K     128K     yes       yes   
openai    gpt-5.3-codex-spark    128K     32K      yes       yes   
openai    gpt-5.4                272K     128K     yes       yes   
openai    gpt-5.4-mini           400K     128K     yes       yes   
openai    gpt-5.4-nano           400K     128K     yes       yes   
openai    gpt-5.4-pro            1.1M     128K     yes       yes   
openai    o1                     200K     100K     yes       yes   
openai    o1-pro                 200K     100K     yes       yes   
openai    o3                     200K     100K     yes       yes   
openai    o3-deep-research       200K     100K     yes       yes   
openai    o3-mini                200K     100K     yes       no    
openai    o3-pro                 200K     100K     yes       yes   
openai    o4-mini                200K     100K     yes       yes   
openai    o4-mini-deep-research  200K     100K     yes       yes   
